doc_id,text,cleaned_text,tokens,token_count,label
1,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",according to gran the company has no plans to move all production to russia although that is where the company is growing,"['according', 'to', 'gran', 'the', 'company', 'has', 'no', 'plans', 'to', 'move', 'all', 'production', 'to', 'russia', 'although', 'that', 'is', 'where', 'the', 'company', 'is', 'growing']",22,neutral
2,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",technopolis plans to develop in stages an area of no less than 100 000 square meters in order to host companies working in computer technologies and telecommunications the statement said,"['technopolis', 'plans', 'to', 'develop', 'in', 'stages', 'an', 'area', 'of', 'no', 'less', 'than', '100', '000', 'square', 'meters', 'in', 'order', 'to', 'host', 'companies', 'working', 'in', 'computer', 'technologies', 'and', 'telecommunications', 'the', 'statement', 'said']",30,neutral
3,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",the international electronic industry company elcoteq has laid off tens of employees from its tallinn facility contrary to earlier layoffs the company contracted the ranks of its office workers the daily postimees reported,"['the', 'international', 'electronic', 'industry', 'company', 'elcoteq', 'has', 'laid', 'off', 'tens', 'of', 'employees', 'from', 'its', 'tallinn', 'facility', 'contrary', 'to', 'earlier', 'layoffs', 'the', 'company', 'contracted', 'the', 'ranks', 'of', 'its', 'office', 'workers', 'the', 'daily', 'postimees', 'reported']",33,negative
4,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,with the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability,"['with', 'the', 'new', 'production', 'plant', 'the', 'company', 'would', 'increase', 'its', 'capacity', 'to', 'meet', 'the', 'expected', 'increase', 'in', 'demand', 'and', 'would', 'improve', 'the', 'use', 'of', 'raw', 'materials', 'and', 'therefore', 'increase', 'the', 'production', 'profitability']",32,positive
5,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",according to the company s updated strategy for the years 2009 2012 basware targets a long term net sales growth in the range of 20 40 with an operating profit margin of 10 20 of net sales,"['according', 'to', 'the', 'company', 's', 'updated', 'strategy', 'for', 'the', 'years', '2009', '2012', 'basware', 'targets', 'a', 'long', 'term', 'net', 'sales', 'growth', 'in', 'the', 'range', 'of', '20', '40', 'with', 'an', 'operating', 'profit', 'margin', 'of', '10', '20', 'of', 'net', 'sales']",37,positive
6,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,financing of aspocomp s growth aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding hdi printed circuit boards pcbs,"['financing', 'of', 'aspocomp', 's', 'growth', 'aspocomp', 'is', 'aggressively', 'pursuing', 'its', 'growth', 'strategy', 'by', 'increasingly', 'focusing', 'on', 'technologically', 'more', 'demanding', 'hdi', 'printed', 'circuit', 'boards', 'pcbs']",24,positive
7,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",for the last quarter of 2010 componenta s net sales doubled to eur131m from eur76m for the same period a year earlier while it moved to a zero pre tax profit from a pre tax loss of eur7m,"['for', 'the', 'last', 'quarter', 'of', '2010', 'componenta', 's', 'net', 'sales', 'doubled', 'to', 'eur131m', 'from', 'eur76m', 'for', 'the', 'same', 'period', 'a', 'year', 'earlier', 'while', 'it', 'moved', 'to', 'a', 'zero', 'pre', 'tax', 'profit', 'from', 'a', 'pre', 'tax', 'loss', 'of', 'eur7m']",38,positive
8,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",in the third quarter of 2010 net sales increased by 5 2 to eur 205 5 mn and operating profit by 34 9 to eur 23 5 mn,"['in', 'the', 'third', 'quarter', 'of', '2010', 'net', 'sales', 'increased', 'by', '5', '2', 'to', 'eur', '205', '5', 'mn', 'and', 'operating', 'profit', 'by', '34', '9', 'to', 'eur', '23', '5', 'mn']",28,positive
9,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,operating profit rose to eur 13 1 mn from eur 8 7 mn in the corresponding period in 2007 representing 7 7 of net sales,"['operating', 'profit', 'rose', 'to', 'eur', '13', '1', 'mn', 'from', 'eur', '8', '7', 'mn', 'in', 'the', 'corresponding', 'period', 'in', '2007', 'representing', '7', '7', 'of', 'net', 'sales']",25,positive
10,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",operating profit totalled eur 21 1 mn up from eur 18 6 mn in 2007 representing 9 7 of net sales,"['operating', 'profit', 'totalled', 'eur', '21', '1', 'mn', 'up', 'from', 'eur', '18', '6', 'mn', 'in', '2007', 'representing', '9', '7', 'of', 'net', 'sales']",21,positive
