token,frequency
the,6062
of,3211
in,2979
and,2590
to,2520
a,1747
for,1151
s,1086
eur,1017
is,926
will,850
company,848
from,769
on,724
its,642
has,577
with,573
by,558
said,544
be,542
as,539
finnish,523
mn,515
1,484
at,481
it,470
sales,455
million,440
that,432
net,413
profit,410
year,395
m,373
was,370
finland,352
2,348
5,333
3,327
an,324
group,318
2009,302
operating,299
2008,297
4,294
mln,291
0,290
are,286
new,277
business,269
period,266
quarter,258
2007,256
2010,251
6,249
oyj,240
share,238
8,229
7,229
market,226
9,224
also,224
services,223
000,222
which,221
have,220
shares,197
first,195
this,192
up,191
2006,185
helsinki,168
been,167
euro,164
loss,153
about,153
compared,149
operations,149
today,148
contract,143
nokia,140
mobile,138
10,137
total,137
per,136
financial,134
production,132
based,132
products,129
percent,128
bank,127
corporation,126
we,124
according,123
were,123
hel,121
companies,120
technology,120
corresponding,119
than,118
plant,118
other,118
service,118
solutions,116
our,115
construction,110
one,110
increased,109
capital,109
2005,108
well,107
agreement,105
investment,104
increase,103
more,103
their,103
rose,102
customers,102
value,101
or,101
pct,99
not,99
down,98
all,97
order,97
stock,95
oy,95
12,94
some,94
end,94
january,93
second,93
two,93
would,92
30,92
board,91
unit,91
part,90
development,90
omx,90
industry,89
after,89
building,88
management,88
earlier,87
september,87
over,87
russia,86
20,86
equipment,85
paper,84
expected,83
last,83
result,83
third,81
15,81
project,81
2011,80
11,79
decreased,79
into,79
same,78
ceo,78
employees,77
maker,77
can,77
had,77
deal,77
price,76
signed,75
media,75
under,75
software,75
systems,73
us,72
plc,72
usd,72
while,71
real,70
announced,70
annual,70
number,69
exchange,69
markets,69
global,69
data,69
approximately,69
14,68
both,68
area,67
news,67
including,67
system,67
people,67
growth,66
line,66
now,66
billion,65
acquisition,65
ltd,64
report,62
euros,62
months,62
october,62
may,62
eur0,61
countries,61
25,60
use,59
june,59
march,59
most,59
time,59
through,59
long,58
manufacturing,58
between,58
network,58
however,58
information,58
before,58
13,57
during,57
world,57
product,57
half,57
18,56
largest,56
supply,56
steel,56
stake,56
these,56
engineering,56
includes,56
he,56
oil,55
16,55
19,55
fell,55
high,55
solution,55
start,55
nordic,54
50,54
april,54
swedish,54
no,53
reported,53
made,53
release,53
out,53
they,53
design,53
further,52
estimated,52
energy,52
years,51
totalled,51
month,51
earnings,51
subsidiary,51
three,51
china,51
rights,51
office,50
capacity,50
nine,50
include,50
term,49
expects,49
transaction,49
electronics,49
40,48
totaled,48
manufacturer,48
sale,48
facility,47
revenue,47
cash,47
power,47
off,46
23,46
non,46
machinery,46
august,46
president,46
sector,46
industrial,46
negotiations,46
100,45
international,45
2004,45
17,45
nordea,45
units,45
february,45
eps,45
when,45
sweden,45
says,45
basware,44
baltic,44
related,44
europe,43
food,43
ruukki,43
such,43
stora,42
process,42
phone,42
sell,42
ï¿½,41
provider,41
director,41
22,41
orders,41
corp,41
developed,41
local,41
projects,41
completed,41
around,41
21,40
upm,40
russian,40
available,40
networks,40
july,40
november,40
addition,40
cost,40
leading,40
lower,40
plans,39
elcoteq,39
enso,39
retail,39
division,39
directors,39
due,39
already,39
option,39
supplier,39
26,39
significant,39
shareholders,39
strategy,38
35,38
brand,38
personnel,38
turnover,38
day,38
distribution,38
since,38
added,38
capman,38
center,38
his,38
offer,37
amounted,37
agreed,37
acquired,37
six,37
communications,37
customer,37
continue,37
yit,37
29,37
general,37
range,36
31,36
prices,36
north,36
provide,36
next,36
following,36
inc,36
make,36
currently,36
fourth,35
st,35
33,35
handling,35
program,35
issue,35
previously,35
full,35
awarded,35
petersburg,34
24,34
security,34
estate,34
grew,34
position,34
cent,34
27,34
trade,34
set,34
target,34
used,34
won,34
costs,34
performance,34
com,34
credit,33
four,33
december,33
insurance,33
results,33
fiskars,33
alma,33
major,33
maintenance,33
sampo,33
processing,33
mill,33
mr,33
quality,33
meeting,33
situation,33
where,32
chain,32
friday,32
current,32
l,32
support,32
press,32
p,32
headquartered,32
provides,32
chairman,32
staff,32
internet,32
own,32
200,31
dividend,31
volume,31
traffic,31
focus,31
america,31
delivered,31
metso,31
firm,31
region,31
via,31
built,31
started,31
city,31
buy,31
terms,31
take,31
voting,31
cooperation,31
items,31
work,31
lay,31
purchase,30
pretax,30
aspo,30
applications,30
place,30
owned,30
plan,30
measures,30
kemira,30
u,30
forest,30
finnair,30
there,30
plants,30
several,30
amount,30
co,30
cargotec,30
sports,30
pulp,30
demand,29
teliasonera,29
delivery,29
reports,29
higher,29
sanoma,29
investments,29
previous,29
research,29
future,29
sold,29
28,29
level,29
marketing,29
being,29
rental,29
60,29
stockmann,29
fixed,29
devices,29
central,29
european,29
areas,29
worth,29
ab,29
strong,29
state,29
savings,29
www,29
margin,28
eur1,28
teleste,28
store,28
estonia,28
whole,28
developer,28
posted,28
adp,28
deliver,28
80,28
joint,28
i,28
ahlstrom,28
positive,28
recurring,28
very,28
poyry,28
issued,28
materials,27
offering,27
neste,27
afx,27
base,27
life,27
secure,27
online,27
commercial,27
members,27
uk,27
main,27
expand,27
contracts,27
only,27
flow,27
ago,27
held,27
received,27
device,27
application,27
packaging,27
decided,27
corporate,27
chief,27
decision,27
transfer,27
who,27
aspocomp,26
income,26
tonnes,26
using,26
wednesday,26
infrastructure,26
outotec,26
operators,26
telecom,26
pohjola,26
logistics,26
employs,26
launch,26
large,26
any,26
scanfil,26
water,26
cut,26
excluding,26
square,25
index,25
incap,25
70,25
yesterday,25
45,25
published,25
bn,25
manager,25
cramo,25
b,25
rapala,25
aim,25
holding,25
government,25
e,25
executive,25
strategic,25
five,25
making,25
close,25
head,25
investors,25
taxes,25
combined,25
analysis,25
pharmaceutical,25
technologies,24
